DATE,QUSR628BIS
1970-01-01,61.3850000000000000
1971-01-01,63.6000000000000000
1972-01-01,66.0025000000000000
1973-01-01,69.5400000000000000
1974-01-01,68.3775000000000000
1975-01-01,68.0700000000000000
1976-01-01,67.5950000000000000
1977-01-01,73.6150000000000000
1978-01-01,78.9100000000000000
1979-01-01,82.5825000000000000
1980-01-01,81.0375000000000000
1981-01-01,78.6700000000000000
1982-01-01,75.8750000000000000
1983-01-01,76.1725000000000000
1984-01-01,76.7675000000000000
1985-01-01,78.1475000000000000
1986-01-01,82.7400000000000000
1987-01-01,87.4050000000000000
1988-01-01,91.5500000000000000
1989-01-01,94.6850000000000000
1990-01-01,92.6150000000000000
1991-01-01,87.9900000000000000
1992-01-01,85.3025000000000000
1993-01-01,83.9175000000000000
1994-01-01,83.6500000000000000
1995-01-01,83.1000000000000000
1996-01-01,82.9650000000000000
1997-01-01,83.9375000000000000
1998-01-01,87.9750000000000000
1999-01-01,92.4625000000000000
2000-01-01,97.9275000000000000
2001-01-01,103.5575000000000000
2002-01-01,110.5125000000000000
2003-01-01,118.5575000000000000
2004-01-01,131.8750000000000000
2005-01-01,147.8225000000000000
2006-01-01,151.5850000000000000
2007-01-01,138.5325000000000000
2008-01-01,113.7175000000000000
2009-01-01,102.8800000000000000
2010-01-01,100.0050000000000000
2011-01-01,94.2875000000000000
2012-01-01,96.6825000000000000
2013-01-01,104.6250000000000000
2014-01-01,109.4700000000000000
2015-01-01,115.1875000000000000
2016-01-01,119.8850000000000000
2017-01-01,124.3550000000000000
2018-01-01,128.1825000000000000
2019-01-01,.
